article_id,row_index,curve_id,stressor_label,stressor_x,units_x,response_label,response_y,units_y,stressor_value,lower_limit,upper_limit,sd
1,1,c1,Alkalinity,0,mgCaCO3/l,Density,0,Scaler,,0,200,
1,2,c1,Alkalinity,9.93,mgCaCO3/l,Density,0.62,Scaler,,0,200,
1,3,c1,Alkalinity,29.31,mgCaCO3/l,Density,1.01,Scaler,,0,200,
1,4,c1,Alkalinity,45.39,mgCaCO3/l,Density,1.22,Scaler,,0,200,
1,5,c1,Alkalinity,61.94,mgCaCO3/l,Density,1.4,Scaler,,0,200,
1,6,c1,Alkalinity,87.94,mgCaCO3/l,Density,1.64,Scaler,,0,200,
1,7,c1,Alkalinity,119.62,mgCaCO3/l,Density,1.89,Scaler,,0,200,
1,8,c1,Alkalinity,151.3,mgCaCO3/l,Density,2.13,Scaler,,0,200,
1,9,c1,Alkalinity,175.41,mgCaCO3/l,Density,2.27,Scaler,,0,200,
1,10,c1,Alkalinity,200,mgCaCO3/l,Density,2.41,Scaler,,0,200,
2,1,c1,Angling Effort (hours/km),0,hrs/km,Mean System Capacity (%),100,% Capacity,,0,1600,
2,2,c1,Angling Effort (hours/km),18,hrs/km,Mean System Capacity (%),36.2,% Capacity,,0,1600,
2,3,c1,Angling Effort (hours/km),1600,hrs/km,Mean System Capacity (%),36.2,% Capacity,,0,1600,
3,1,c1,Angling Effort (hours/km),0,hr/km,Mean System Capacity (%),100,% Capacity,,0,100,
3,2,c1,Angling Effort (hours/km),50,hr/km,Mean System Capacity (%),38.3,% Capacity,,0,50,
3,3,c1,Angling Effort (hours/km),1600,hr/km,Mean System Capacity (%),38.3,% Capacity,,0,50,
4,1,c1,Temperature (June 1-21 ADM),8,°C,Survival (%),1,Productivity multiplier,,0,100,
4,2,c1,Temperature (June 1-21 ADM),9,°C,Survival (%),1,Productivity multiplier,,0,100,
4,3,c1,Temperature (June 1-21 ADM),10,°C,Survival (%),1,Productivity multiplier,,0,100,
4,4,c1,Temperature (June 1-21 ADM),11,°C,Survival (%),1,Productivity multiplier,,0,100,
4,5,c1,Temperature (June 1-21 ADM),12,°C,Survival (%),1,Productivity multiplier,,0,100,
4,6,c1,Temperature (June 1-21 ADM),13,°C,Survival (%),1,Productivity multiplier,,0,100,
4,7,c1,Temperature (June 1-21 ADM),14,°C,Survival (%),1,Productivity multiplier,,0,100,
4,8,c1,Temperature (June 1-21 ADM),15,°C,Survival (%),1,Productivity multiplier,,0,100,
4,9,c1,Temperature (June 1-21 ADM),16,°C,Survival (%),1,Productivity multiplier,,0,100,
4,10,c1,Temperature (June 1-21 ADM),17,°C,Survival (%),1,Productivity multiplier,,0,100,
4,11,c1,Temperature (June 1-21 ADM),18,°C,Survival (%),1,Productivity multiplier,,0,100,
4,12,c1,Temperature (June 1-21 ADM),19,°C,Survival (%),0.83,Productivity multiplier,,0,100,
4,13,c1,Temperature (June 1-21 ADM),20,°C,Survival (%),0.66,Productivity multiplier,,0,100,
4,14,c1,Temperature (June 1-21 ADM),21,°C,Survival (%),0.49,Productivity multiplier,,0,100,
4,15,c1,Temperature (June 1-21 ADM),22,°C,Survival (%),0.32,Productivity multiplier,,0,100,
4,16,c1,Temperature (June 1-21 ADM),23,°C,Survival (%),0.15,Productivity multiplier,,0,100,
4,17,c1,Temperature (June 1-21 ADM),24,°C,Survival (%),0,Productivity multiplier,,0,100,
4,18,c1,Temperature (June 1-21 ADM),25,°C,Survival (%),0,Productivity multiplier,,0,100,
4,19,c1,Temperature (June 1-21 ADM),26,°C,Survival (%),0,Productivity multiplier,,0,100,
4,20,c1,Temperature (June 1-21 ADM),27,°C,Survival (%),0,Productivity multiplier,,0,100,
4,21,c1,Temperature (June 1-21 ADM),28,°C,Survival (%),0,Productivity multiplier,,0,100,
4,22,c1,Temperature (June 1-21 ADM),29,°C,Survival (%),0,Productivity multiplier,,0,100,
4,23,c1,Temperature (June 1-21 ADM),30,°C,Survival (%),0,Productivity multiplier,,0,100,
4,24,c1,Temperature (June 1-21 ADM),31,°C,Survival (%),0,Productivity multiplier,,0,100,
4,25,c1,Temperature (June 1-21 ADM),32,°C,Survival (%),0,Productivity multiplier,,0,100,
5,1,c1,Fine Sediment (% smaller than 2-6.35mm),0.34,% Sediment smaller than 2-6.35mm,Emergence (%),89.79,% emergence,,0,100,5.22
