article_id,user_id,article_type,title,stressor_name,broad_stressor_name,specific_stressor_metric,response,srf_formula,species_common_name,latin_name,life_stages,activity,season,location_country,location_state_province,location_watershed_lab,location_river_creek,overview,function_derivation,transferability_of_function,conf_source,conf_shape,conf_variance,conf_applicability,conf_interactions,source_of_stressor_data,citations
1,9,Mechanistic model validation,Cramer & Ackerman 2009: Alkalinity and Steelhead Habitat Density Scalar,Alkalinity,Water Chemistry,Alkalinity concentration,Parr capacity scalar/multiplier,,{Steelhead Trout},{Oncorhynchus mykiss},{Parr},{Rearing},{Summer},{USA},{Oregon},{Oregon Coastal Streams},"{""NULL""}","The function was scaled so that a scalar value of 1.0 corresponds to 28mg/lCaCO3, which was the median mid-summer alkalinity in the standard reference streams. The alkalinity scalar is calculated by taking the stream's alkalinity measurement, raising it to the power of 0.45, and dividing that result by 4.48.

Figure 2. Habitat preference relationships applied within the UCM for scaling standard parr densities to
those expected under the specific habitat features in a given stream.","{""Expert opinion""}","Developed specifically for summer-rearing juvenile steelhead (age>1 parr). The paper suggests the method can be applied to ""many steelhead-bearing streams"" for which long-term monitoring data are unavailable , but specifies it was developed for streams with typical steelhead water quality and species composition. The model may over-predict carrying capacity in highly alkaline or very large basins. The function does not account for other water quality parameters like extreme high summer temperatures that could completely exclude steelhead. The model does not account for interspecific competition.",,,,,,"The alkalinity function relies on data from Ptolemy (1993). The full citation is: Ptolemy, R. A. 1993. Maximum salmonid densities in fluvial habitats in British Columbia. Pages 223-250 in L. Berg and P. W. Delaney, editors. Proceedings of the Coho Workshop, May 26-28, 1992, Nanaimo, British Columbia.

Water quality data (Oregon Department of Environmental Quality - ODEQ online data 2006)","[{""title"":""Cramer & Ackerman 2009"",""url"":""https://www.researchgate.net/profile/Steven-Cramer-4/publication/228957643_Prediction_of_stream_carrying_capacity_for_steelhead_the_unit_characteristic_method/links/00b495193f52d05bb2000000/Prediction-of-stream-carrying-capacity-for-steelhead-the-unit-characteristic-method.pdf"",""text"":""Cramer, S. P. , & Ackerman, N. K. (2009). Prediction of stream carrying capacity for steelhead (Oncorhynchus mykiss): the unit characteristic method. In American Fisheries Society, Series: Symposium (Vol. 71, pp. 255-288).""}]"
2,6,Meta-analysis,Government of Alberta 2024: Angling Effort and Bull Trout Survival,Angling effort,Human Activity,Angling effort (incidental angling mortality and illegal harvest),System Capacity,,{Bull Trout},{Salvelinus confluentus},{Adult},{All Activities},{All Seasons},{Canada},{Alberta},{Alberta foothills watersheds excluding National Parks},"{""NULL""}","Native trout were legally harvested throughout the eastern slopes prior to the implementation of the province-wide zero harvest regulation in 1995 for Bull Trout, 2014 for Athabasca Rainbow Trout and between 2009 to 2016 period for Westslope Cutthroat Trout (note: harvest may still be permitted on stocked or heavily hybridized populations). Angling may still represent a major threat to population sustainability due to incidental mortality (i.e., mortality due to stress or physical damage from hooking or handling) associated with catch and release fishing if angling effort and catchability is high (e.g., Post et al. 2003). Illegal harvest, either intentional or due to misidentification, occurs at an unknown frequency and may also contribute to population declines. Past case studies demonstrate that some Bull Trout populations are capable of recovering relatively quickly (5-10 years) from an over-exploited state under zero harvest regulations/reduced angler effort or complete angling closures (Johnston et al. 2007; Sullivan 2014).  
In the absence of information on population parameters, such as catchability and abundance, angling effort (annual rod hours per km) was used as the stressor input value. Angling effort is considered a surrogate for fishing mortality; it is assumed that there is greater mortality at high levels of effort, and lower mortality and low levels of effort.  The approximated relationship between angling effort and system capacity encompasses a linear decline in system capacity with increasing angler effort until an inflection point is reached where additional effort has no further impact on system capacity. The assumption is that there is a proportion of fish in a population that are less vulnerable or invulnerable to anglers, resulting in population resiliency albeit at lower abundance, i.e., fishing mortality alone is not expected to extirpate a population. This may occur because of reduced or variable catchability due to learned hook avoidance, heterogeneity among individual fish, and environmental factors (Askey et al. 2006, Van Poorten & Post 2011). Additionally, some fish may not be caught because anglers are unable to access all areas of a river system. These inaccessible areas provide a similar function to marine protected areas by reducing the proportion of the total population available to fishing (Cox and Walters 2002). 
The species-specific shape of the stressor-response curve was based on a series of assumptions. First, we assumed that there was no impact to system capacity at zero angling effort (0 annual rod hours/km, 100% system capacity). Next, the x-coordinate of the inflection point was set at 18 annual rod hours/km for Bull Trout, based on Post et al. (2003) that predicted that angling effort above this value would not maintain a viable population of bull trout under catch-and-release regulations. For Westslope Cutthroat Trout this inflection point was set at 50 annual rod hours/km based on yield-per-recruit modelling that demonstrated a high potential for recruitment overfishing beyond this angling effort under catch-and-release regulations. Parameters used in this modelling exercise included a catchability coefficient of 0.015 (Sinnatamby et al. 2021) and 10% mortality due to both non-compliance and post-release mortality, similar to Post et al. (2003) (Reilly & Macpherson unpublished data).  The critical angling effort value for Bull Trout is lower than Westslope Cutthroat Trout because Bull Trout exhibit life-history characteristics that make them more vulnerable to overexploitation (e.g., slow-growing, late-maturing, high catchability) (Johnston et al. 2007).  
The y-coordinate of the inflection point was set as the 95th percentile of system capacity, calculated using all populations experiencing angling effort above the critical value. The 95th percentile was applied because it is expected that the relationship between system capacity and angling effort is better represented by the rate of change near the maximum response rather than the mean response, as system capacity is affected by multiple factors that may vary in their effect. This is similar logic to quantile regression that recognizes numerous unaccounted factors can be driving a response variable (Cade and Noon 2003). This produced inflection point coordinates of 18 annual rod hours/km and 36% system capacity for Bull Trout (Figure 1) and 50 annual rod hours/km and 38% system capacity for Westslope Cutthroat Trout. Species-specific fisheries models for Athabasca Rainbow Trout are not currently available. However, Westslope Cutthroat Trout and Athabasca Rainbow Trout exhibit similar life history characteristics and so the Athabasca Rainbow Trout inflection point was also set at 50 annual rod hours/km and 38% system capacity.","{""Expert opinion"",""Mechanistic theory""}","The alkalinity function relies on data from Ptolemy (1993). The full citation is: Ptolemy, R. A. 1993. Maximum salmonid densities in fluvial habitats in British Columbia. Pages 223-250 in L. Berg and P. W. Delaney, editors. Proceedings of the Coho Workshop, May 26-28, 1992, Nanaimo, British Columbia.

Water quality data (Oregon Department of Environmental Quality - ODEQ online data 2006)",,,,,,"The amount of angler effort was summarized as annual angling hours/km. When available, creel information was used to determine angling effort. In the absence of creel data, a model that incorporated the annual temporal and spatial availability of angling opportunities for the three species of native trout was used. This was achieved by estimating the hours of angling on weekdays and weekends for relevant lengths of native trout occupied streams (km) in a watershed. This was then summarized as an annual total by accounting for the number of weeks in an angling season.","[{""title"":""Government of Alberta 2024"",""url"":""https://mjbayly.com/download_pdf/190"",""text"":""Government of Alberta. 2024. Angling effort (incidental angling mortality and illegal harvest) stressor-response function for Athabasca Rainbow Trout, Westslope Cutthroat Trout, and Bull Trout. Environment and Protected Area Native Trout Cumulative Effects Model.""},{""title"":""Askey et al. 2006"",""url"":""https://doi.org/10.1577/M06-035.1"",""text"":""Askey, P. , Richards, S. Post, J. and E. Parkinson. 2006. Linking Angling Catch Rates and Fish Learning under Catch-and-Release Regulations. North American Journal of Fisheries Management. 26. 1020-1029""},{""title"":""Cade & Noon 2003"",""url"":""https://doi.org/10.1890/1540-9295(2003)001[0412:AGITQR]2.0.CO;2"",""text"":""Cade, B. S. and B. R. Noon. 2003. A gentle introduction to quantile regression for ecologists. Frontiers in Ecology and the Environment 1: 412‚420""},{""title"":""Cox & Walters 2002"",""url"":""https://onlinelibrary.wiley.com/doi/full/10.1577/1548-8675%282002%29022%3C0021%3AMEIRFA%3E2.0.CO%3B2?sid=vendor%3Adatabase"",""text"":""Cox. S. and C. Walters. 2002. Modeling Exploitation in Recreational Fisheries and Implications for Effort Management on British Columbia Rainbow Trout Lakes. American Journal of Fisheries Management. 22: 21-34.""},{""title"":""Johnston et al. 2007"",""url"":""https://cdnsciencepub-com.us1.proxy.openathens.net/doi/abs/10.1139/f06-172"",""text"":""Johnston, F. D. , J. R. Post, C. J. Mushens, J. D. Stelfox, A. J. Paul, and B. Lajeunesse. 2007. The demography of recovery of an overexploited Bull Trout, Salvelinus confluentus, population. Canadian Journal of Fisheries and Aquatic Sciences 64:113‚126.""},{""title"":""Post et al. 2003"",""url"":""https://onlinelibrary.wiley.com/doi/full/10.1577/1548-8675%282003%29023%3C0022%3AAOAHRF%3E2.0.CO%3B2?sid=vendor%3Adatabase"",""text"":""Post, J. , C. Mushens, A. Paul, and M. Sullivan. 2003. Assessment of alternative harvest regulations for sustaining recreational fisheries: model development and application to Bull Trout. North American Journal of Fisheries Management 23:22‚34.""},{""title"":""Sinnatamby et al. 2019"",""url"":""https://onlinelibrary.wiley.com/doi/full/10.1111/eff.12531"",""text"":""Sinnatamby, R. N. , A. Cantin, and J. R. Post. 2019. Threats to at-risk salmonids of the Canadian Rocky Mountain region. Ecology of Freshwater Fish 29:477-494.""}, {""title"":""Sullivan 2014"",""url"":"""",""text"":""Sullivan, M. G. 2014. The Bull Trout of Jacques Lake, Jasper National Park: a population in recovery. Alberta Cooperative Conservation Research Unit, Edmonton AB. 18p.""},{""title"":""Van Poorten & Post 2005"",""url"":""https://doi.org/10.1577/M03-225.1"",""text"":""Van Poorten, B. and Post, J. 2005. Seasonal Fishery Dynamics of a Previously Unexploited Rainbow Trout Population with Contrasts to Established Fisheries. North American Journal of Fisheries Management. 25. 329-345.""}]"
3,5,Meta-analysis,Government of Alberta 2024: Angling Effort and System Capacity,Angling effort,Human Activity,incidental angling mortality and illegal harvest,System Capacity,,"{""Athabasca Rainbow Trout"",""Westslope Cutthroat Trout""}","{""Oncorhynchus mykiss"",""Oncorhynchus clarkii lewisi""}",{Adult},"{""NULL""}","{""NULL""}",{Canada},{Alberta},{Alberta foothills watersheds excluding National Parks},"{""NULL""}","Derivation of the function: 

Native trout were legally harvested throughout the eastern slopes prior to the implementation of the province-wide zero harvest regulation in 1995 for Bull Trout, 2014 for Athabasca Rainbow Trout and between 2009 to 2016 period for Westslope Cutthroat Trout (note: harvest may still be permitted on stocked or heavily hybridized populations). Angling may still represent a major threat to population sustainability due to incidental mortality (i.e., mortality due to stress or physical damage from hooking or handling) associated with catch and release fishing if angling effort and catchability is high (e.g., Post et al. 2003). Illegal harvest, either intentional or due to misidentification, occurs at an unknown frequency and may also contribute to population declines. Past case studies demonstrate that some Bull Trout populations are capable of recovering relatively quickly (5-10 years) from an over-exploited state under zero harvest regulations/reduced angler effort or complete angling closures (Johnston et al. 2007; Sullivan 2014).  

In the absence of information on population parameters, such as catchability and abundance, angling effort (annual rod hours per km) was used as the stressor input value. Angling effort is considered a surrogate for fishing mortality; it is assumed that there is greater mortality at high levels of effort, and lower mortality and low levels of effort.  The approximated relationship between angling effort and system capacity encompasses a linear decline in system capacity with increasing angler effort until an inflection point is reached where additional effort has no further impact on system capacity. The assumption is that there is a proportion of fish in a population that are less vulnerable or invulnerable to anglers, resulting in population resiliency albeit at lower abundance, i.e., fishing mortality alone is not expected to extirpate a population. This may occur because of reduced or variable catchability due to learned hook avoidance, heterogeneity among individual fish, and environmental factors (Askey et al. 2006, Van Poorten & Post 2011). Additionally, some fish may not be caught because anglers are unable to access all areas of a river system.  These inaccessible areas provide a similar function to marine protected areas by reducing the proportion of the total population available to fishing (Cox and Walters 2002). 

The species-specific shape of the stressor-response curve was based on a series of assumptions. First, we assumed that there was no impact to system capacity at zero angling effort (0 annual rod hours/km, 100% system capacity). Next, the x-coordinate of the inflection point was set at 18 annual rod hours/km for Bull Trout, based on Post et al. (2003) that predicted that angling effort above this value would not maintain a viable population of bull trout under catch-and-release regulations. For Westslope Cutthroat Trout this inflection point was set at 50 annual rod hours/km based on yield-per-recruit modelling that demonstrated a high potential for recruitment overfishing beyond this angling effort under catch-and-release regulations. Parameters used in this modelling exercise included a catchability coefficient of 0.015 (Sinnatamby et al. 2021) and 10% mortality due to both non-compliance and post-release mortality, similar to Post et al. (2003) (Reilly & Macpherson unpublished data).  The critical angling effort value for Bull Trout is lower than Westslope Cutthroat Trout because Bull Trout exhibit life-history characteristics that make them more vulnerable to overexploitation (e.g., slow-growing, late-maturing, high catchability) (Johnston et al. 2007). 
 
The y-coordinate of the inflection point was set as the 95th percentile of system capacity, calculated using all populations experiencing angling effort above the critical value. The 95th percentile was applied because it is expected that the relationship between system capacity and angling effort is better represented by the rate of change near the maximum response rather than the mean response, as system capacity is affected by multiple factors that may vary in their effect. This is similar logic to quantile regression that recognizes numerous unaccounted factors can be driving a response variable (Cade and Noon 2003). This produced inflection point coordinates of 18 annual rod hours/km and 36% system capacity for Bull Trout (Figure 1) and 50 annual rod hours/km and 38% system capacity for Westslope Cutthroat Trout. Species-specific fisheries models for Athabasca Rainbow Trout are not currently available. However, Westslope Cutthroat Trout and Athabasca Rainbow Trout exhibit similar life history characteristics and so the Athabasca Rainbow Trout inflection point was also set at 50 annual rod hours/km and 38% system capacity.","{""Expert opinion"",""Mechanistic theory""}",This function used data from Westslope Cutthroat Trout but was applied to Athabasca Rainbow Trout due to life history similarities. It should only be applied to scenarios where life history similarities and vulnerability to angling can be ascertained for the target species.,,,,,,"The amount of angler effort was summarized as annual angling hours/km. When available, creel information was used to determine angling effort. In the absence of creel data, a model that incorporated the annual temporal and spatial availability of angling opportunities for the three species of native trout was used. This was achieved by estimating the hours of angling on weekdays and weekends for relevant lengths of native trout occupied streams (km) in a watershed. This was then summarized as an annual total by accounting for the number of weeks in an angling season.","[{""title"":""Government of Alberta 2024"",""url"":""https://mjbayly.com/download_pdf/76"",""text"":""Government of Alberta. 2024. Angling effort (incidental angling mortality and illegal harvest) stressor-response function for Athabasca Rainbow Trout and Westslope Cutthroat Trout. Environment and Protected Area Native Trout Cumulative Effects Model.""}]"
4,5,Mechanistic theory,Beechie et al. 2021: Summer Temperature and Juvenile Survival,Temperature,Temperature,June 1-21 average daily maximum,Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Parr},{Rearing},{Summer},{USA},{Washington},{Chehalis River},"{""NULL""}","For spring and fall Chinook, we use the June 1-21 average daily maximum temperature to estimate the temperature effect on productivity of juvenile Chinook parr migrating down the mainstem Chehalis in June (migration data from Winkowski and Zimmerman 2019). We use June 1-21 because that is the time period of peak outmigration (Figure I.5). Very few fish are migrating in the last week of June, so we did not include that week in the temperature calculation. Based on data from Winkowski and Zimmerman (2019) we estimate that 45% of parr are affected (red box in Figure I.5), which is the number of Chinook parr counted in the first 3 weeks in June, divided by total Chinook parr counted for the season. The functional relationship between the June 1-21 average daily maximum temperature and spring and fall Chinook outmigrant productivity multiplier (Figure I.6) is: This equation is applied to the 45% of juveniles that are migrating from June 1-21.” (Beechie et al. 2021, p. 230)","{""Empirical data""}","This function was derived from temperatures and juvenile outmigration counts at a screw trap on the Chehalis River, Washington. It could be applied to similar systems with Chinook Salmon with caution.",,,,,,"""Spring Chinook upstream migration productivity and coho, steelhead, and late migrant Chinook summer rearing productivity are a function of stream temperature. The input data sets for current stream temperature are from WDFW (Chehalis Thermalscape data for 226 tributaries) and Portland State University (PSU, mainstem from Crim Creek to Porter Creek). Temperature differences for historical and future scenarios are based on the shade and temperature model of Seixas et al. (2018) and climate change projections from NorWeST (https://www.fs.fed.us/rm/boise/AWAE/projects/NorWeST/ModeledStreamTemperatureScenarioMaps.shtml). We model effects of the 7-day average daily maximum summer stream temperature (7-DADM) for coho salmon and steelhead juveniles, and spring Chinook adults, because these fish are in freshwater during the period of high temperatures. Most spring and fall Chinook migrate to the bay prior to high temperatures in summer, and therefore we only model a June temperature effect on the late Chinook juvenile migrants. Because juvenile coho and steelhead have different thermal tolerances, we model the temperature effect with a different functional relationship for each species.‚ (Beechie et al. 2021 pp. 226-227)""","[{""title"":""Beechie et al. 2021"",""url"":""https://repository.library.noaa.gov/view/noaa/29486"",""text"":""Beechie T.‚ J., C.‚ Nicol, C.‚ Fogel, J.‚ Jorgensen, J.‚ Thompson, G.‚ Seixas, J.‚ Chamberlin, J.‚ Hall, B.‚ Timpane-Padgham, P.‚ Kiffney, S.‚ Kubo, and J.‚Keaton. 2021. Modeling Effects of Habitat Change and Restoration Alternatives on Salmon in the Chehalis River Basin Using a Salmonid Life-Cycle Model. U.S. Department of Commerce, NOAA Contract Report NMFS-NWFSC-CR-2021-01.""},{""title"":""Winkowski & Zimmerman 2019"",""url"":""https://officeofchehalisbasin.com/wp-content/uploads/2019/03/wdfw02042.pdf"",""text"":""Winkowski, J., and M. S. Zimmerman. 2019. Chehalis River Smolt Production, 2018, FPA 19- 01. Washington Department of Fish and Wildlife, Olympia, WA.""}]"
5,9,Meta-analysis,Bjornn & Reiser 1991: Fine Sediment and Fry Survival,Sedimentation,Sediment,Fine Sediment,Percent Emergence,,"{""Brook Trout"",""Steelhead Trout"",""Chinook Salmon"",""Coho Salmon""}","{""Salvelinus fontinalis"",""Oncorhynchus mykiss"",""Oncorhynchus tshawytscha"",""Oncorhynchus kisutch""}",{Fry},{Emergence},"{""NULL""}",{USA},{West Coast},{Pacific drainage watersheds},"{""NULL""}","Percentage emergence of swim-up fry placed in gravel-sand mixtures in relation to the percentage of sediment smaller than 2 - 6.4 mm. The stipled area includes data from eight tests on brook trout, steelhead, and chinook and coho salmon.","{""NULL""}",,,,,,,,"[{""title"":""Bjornn, T. C. , & Reiser, D. W. (1991)"",""url"":""https://www.for.gov.bc.ca/hfd/LIBRARY/FFIP/Bjornn_TC1991.pdf"",""text"":""Bjornn, T. C. , & Reiser, D. W. (1991). Habitat requirements of salmonids in streams. American Fisheries Society Special Publication, 19(837), 103.""}]"
6,9,Expert elicitation,Cramer & Ackerman 2009: Boulder Cover and Steelhead Habitat Density Scalar,Substrate,Physical Habitat Structure,Substrate in Boulders (%),Density,,{Steelhead Trout},{Oncorhynchus mykiss},{Parr},{Rearing},"{""NULL""}",{USA},{Oregon},"{""NULL""}","{""Tenmile Creek"",""Cummins Creek"",""Little North Fork Wilson River"",""Little Butte Creek"",""Hood River"",""Trout Creek"",""Catherine Creek""}","Figure 2. Habitat preference relationships applied within the UCM for scaling standard parr densities to
those expected under the specific habitat features in a given stream.","{""Expert opinion""}",,,,,,,,"[{""title"":""Cramer & Ackerman 2009"",""url"":""https://www.researchgate.net/profile/Steven-Cramer-4/publication/228957643_Prediction_of_stream_carrying_capacity_for_steelhead_the_unit_characteristic_method/links/00b495193f52d05bb2000000/Prediction-of-stream-carrying-capacity-for-steelhead-the-unit-characteristic-method.pdf"",""text"":""Cramer, S. P. , & Ackerman, N. K. (2009). Prediction of stream carrying capacity for steelhead (Oncorhynchus mykiss): the unit characteristic method. In American Fisheries Society, Series: Symposium (Vol. 71, pp. 255-288).""}]"
7,5,Field experiment,Beechie et al. 2021: Temperature and Chinook Spawner Survival,Temperature,Temperature,7-DADM,Survival,,{Spring Chinook Salmon},{Oncorhynchus tshawytscha},{Adult},{Prespawn},{Summer},{USA},{Oregon},{Willamette River Basin},{Willamette River},"Density-independent survivorship for spring Chinook upstream migration and holding and stream temperature. Stream temperature is modelled as the 7-day average of daily maximum (7-DADM). Functional relationship is originally sourced from the Willamette River OR (see original source data from (Bowerman et al. 2018).

Regression line shows relationship for wild (non-hatchery) origin fish. Mortality increases with stream temperature

General Application Prespawn","{""NULL""}",,,,,,,,"[{""title"":""Beechie et al. 2021"",""url"":""https://repository.library.noaa.gov/view/noaa/29486"",""text"":""Beechie T.‚ J., C.‚ Nicol, C.‚ Fogel, J.‚ Jorgensen, J.‚ Thompson, G.‚ Seixas, J.‚ Chamberlin, J.‚ Hall, B.‚ Timpane-Padgham, P.‚ Kiffney, S.‚ Kubo, and J.‚Keaton. 2021. Modeling Effects of Habitat Change and Restoration Alternatives on Salmon in the Chehalis River Basin Using a Salmonid Life-Cycle Model. U.S. Department of Commerce, NOAA Contract Report NMFS-NWFSC-CR-2021-01.""},{""title"":""Bowerman et al. 2018"",""url"":""https://doi.org/10.1002/tafs.10022"",""text"":""Bowerman, T. , A. Roumasset, M. L. Keefer, C. S. Sharpe, and C. C. Caudill. 2018. Prespawn mortality of female Chinook salmon increases with water temperature and percent hatchery origin. Transactions of the American Fisheries Society 147:31-42.""}]"
8,5,Field experiment,Bowerman et al. 2021: Temperature and Chinook Spawner Survival,Temperature,Temperature,Mean August Stream Temperature,Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Adult},{Spawning},{Summer},{USA},"{""Oregon"",""Idaho"",""Washington""}",{Columbia River Basin},"{""NULL""}","Predicted pre-spawn mortality. Composite curve across populations in the Interior Columbia River Basin. Model parameters included Day (of year), Fish Length, Origin (hatchery or wild) and Mean August Stream Temperature. Figure shows partial plot for stream temperature after accounting for other covariates.

Mortality rates from monitoring data (5 - 14 years across 49 stream reaches). Survey methods differed between programs, but authors used data filtering criteria.

This stressor response curve shows data for Natural Origin Chinook (excluded hatchery origin) and a mean value between the 5th and 95th percentile of fish length (generalized curve).

General Application Prespawn","{""NULL""}",,,,,,,,"[{""title"":""Bowerman et al. 2021"",""url"":""https://doi.org/10.1016/j.fishres.2021.105874"",""text"":""Bowerman, T. E. , Keefer, M. L. , & Caudill, C. C. (2021). Elevated stream temperature, origin, and individual size influence Chinook salmon prespawn mortality across the Columbia River Basin. Fisheries Research, 237, 105874.""}]"
9,5,Expert elicitation,Hocking et al. 2021: Calcite and Westslope Cutthroat Trout Spawning Suitability,Calcite,Water Chemistry,Calcite concrection,Suitability,,{Westslope Cutthroat Trout},{Oncorhynchus clarkii lewisi},{Adult},{Spawning},"{""NULL""}",{Canada},{British Columbia},{Elk River Basin},{Elk River},"Draft WCT spawning suitability response curves for calcite concretion based on data collected in 2018 and 2019 from 17 tributary streams of the Elk River, B.C. Curves are model-averaged predictions of the effects of calcite concretion on redd presence and redd counts.

The influence of calcite concretion on the response variables was negative, and the suitability model for WCT decreases exponentially with increasing levels of calcite concretion.","{""Expert opinion""}",,,,,,,,"[{""title"":""Hocking et al. 2021"",""url"":""https://www.teck.com/media/Calcite-SME-Stressor-Report-UFR-Evaluation-of-Cause.pdf"",""text"":""Hocking, M. , Tamminga, A. , Arnett, T. , Robinson, M. , Larratt, H. , & Hatfield, T. (2021). Subject Matter Expert Report: Calcite. Evaluation of Cause‚ Decline in Upper Fording River Westslope Cutthroat Trout Population. Report prepared for Teck Coal Ltd. by Ecofish Research Ltd., Lotic Environmental Ltd., and Larratt Aquatic Consulting Ltd.""}]"
10,5,Lab experiment,Bratovich et al. 2020: Temperature and Chinook Egg survival,Temperature,Temperature,Incubation Temperature,Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Egg},{Incubation},{Winter},{USA},{PNW},{Salmon-Cultural Laboratory},"{""NULL""}","Data and plot summarized from Bratovich et al., 2020:
""Myrick and Cech (2001) combined mortality data of Chinook salmon eggs from fertilization to hatching from laboratory experiments for multiple water temperature treatments, ranging from 35°F to 68.4°F (~2 to 20°C) (Figure 4). The function applied to the mortality data appears to be a quadratic function, where mortality decreases at an increasing rate as water temperature warms
from about 35°F to 50°F, and higher mortality at an increasing rate as water temperature warms from about 50°F to 65°F. Because these data represent total mortality of incubating eggs over the course of the respective incubation periods for each treatment and study, this relationship was not used to estimate daily mortality rates in this TM. However, it does illustrate the notable increases in mortality that occur with increases in water temperature above about 15°C (59°F).""
Function roughly equal to Survival = -1.0925x2 + 20.202x + 2.9062; R² = 0.9936 (where x is temp in degrees C)","{""NULL""}",,,,,,,,"[{""title"":""Bratovich et al. 2020"",""url"":""https://www.waterforum.org/wp-content/uploads/2020/09/Water-Forum-Water-Temp-Embryo-Survival-TM-9-23-20.pdf"",""text"":""Bratovich, P., M. Neal, A. Ransom, P. Bedore, and M. Bryan. 2020. Chinook Salmon Early Lifestage Survival & Folsom Dam Power Bypass Considerations. Prepared for the Sacramento Water Forum. September 2020. Combs, B.D. and R.E. Burrows. 1957. Threshold Temperatures for the Normal Development of Chinook Salmon Eggs. The Progressive Fish-Culturist, 19:3-6.""},{""title"":""Myrick & Cech 2001"",""url"":""http://www.sfei.org/modelingforum/"",""text"":""Myrick, C. A., Jr. Cech, J. J., & Bay-Delta Modeling Forum. (2001). Temperature Effects on Chinook Salmon and Steelhead: a Review Focusing on California’s Central Valley Populations. In Bay-Delta Modeling Forum [Report].""}]"
